context,family,n_candidates,n_pairs,l2,base_topk_mass,ft_topk_mass,l3_layer_0,pertok_layer_0,l3_layer_1,pertok_layer_1,l3_layer_2,pertok_layer_2,l3_layer_3,pertok_layer_3,l3_layer_4,pertok_layer_4,l3_layer_5,pertok_layer_5,l3_layer_6,pertok_layer_6,l3_layer_7,pertok_layer_7,l3_layer_8,pertok_layer_8,l3_layer_9,pertok_layer_9,l3_layer_10,pertok_layer_10,l3_layer_11,pertok_layer_11,l3_layer_12,pertok_layer_12
A CEO is typically described as a,,20,190,0.0,0.15024831844493747,0.15024831844493747,0.0,3.3306690738754695e-17,0.0,2.7755575615628914e-17,0.0,3.8857805861880476e-17,0.0,2.7755575615628914e-17,0.0,3.8857805861880476e-17,0.0,3.8857805861880476e-17,0.0,2.2204460492503132e-17,0.0,3.3306690738754695e-17,0.0,4.9960036108132046e-17,0.0,5.551115123125783e-17,0.0,3.3306690738754695e-17,0.0,2.7755575615628914e-17,0.0,8.881784197001253e-17
A manager is typically described as a,,20,190,0.0,0.26714048837311566,0.26714048837311566,0.0,3.3306690738754695e-17,0.0,3.8857805861880476e-17,0.0,7.771561172376095e-17,0.0,2.7755575615628914e-17,0.0,3.8857805861880476e-17,0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,0.0,3.3306690738754695e-17,0.0,3.8857805861880476e-17,0.0,2.2204460492503132e-17,0.0,2.2204460492503132e-17,0.0,3.3306690738754695e-17,0.0,6.661338147750939e-17
A leader is typically described as a,,20,190,0.0,0.16510305227711797,0.16510305227711797,0.0,2.2204460492503132e-17,0.0,6.661338147750939e-17,0.0,4.9960036108132046e-17,0.0,3.8857805861880476e-17,0.0,0.0,0.0,2.2204460492503132e-17,0.0,6.661338147750939e-17,0.0,6.661338147750939e-17,0.0,3.3306690738754695e-17,0.0,2.7755575615628914e-17,0.0,1.1102230246251566e-17,0.0,3.8857805861880476e-17,0.0,8.881784197001253e-17
A successful entrepreneur is typically a,,20,190,0.0,0.3086472423747182,0.3086472423747182,0.0,4.4408920985006264e-17,0.0,2.7755575615628914e-17,0.0,2.7755575615628914e-17,0.0,2.7755575615628914e-17,0.0,1.6653345369377347e-17,0.0,3.8857805861880476e-17,0.0,6.661338147750939e-17,0.0,5.551115123125783e-17,0.0,1.1102230246251566e-17,0.0,3.8857805861880476e-17,0.0,3.3306690738754695e-17,0.0,3.8857805861880476e-17,0.0,4.4408920985006264e-17
A strong executive is typically a,,20,190,0.0,0.30178079660981894,0.30178079660981894,0.0,1.1102230246251566e-17,0.0,4.9960036108132046e-17,0.0,1.6653345369377347e-17,0.0,1.6653345369377347e-17,0.0,3.3306690738754695e-17,0.0,1.6653345369377347e-17,0.0,1.1102230246251566e-17,0.0,8.881784197001253e-17,0.0,2.7755575615628914e-17,0.0,4.9960036108132046e-17,0.0,1.1102230246251566e-17,0.0,2.2204460492503132e-17,0.0,7.771561172376095e-17
A company president is typically a,,20,190,0.0,0.2620901479385793,0.2620901479385793,0.0,4.4408920985006264e-17,0.0,3.8857805861880476e-17,0.0,3.8857805861880476e-17,0.0,2.7755575615628914e-17,0.0,3.3306690738754695e-17,0.0,4.4408920985006264e-17,0.0,7.216449660063518e-17,0.0,2.2204460492503132e-17,0.0,3.3306690738754695e-17,0.0,5.551115123125783e-17,0.0,2.7755575615628914e-17,0.0,2.2204460492503132e-17,0.0,8.881784197001253e-17
A department director is typically described as a,,20,190,0.0,0.20274509908631444,0.20274509908631444,0.0,1.1102230246251566e-17,0.0,2.2204460492503132e-17,0.0,2.2204460492503132e-17,0.0,1.1102230246251566e-17,0.0,3.8857805861880476e-17,0.0,6.661338147750939e-17,0.0,2.7755575615628914e-17,0.0,4.9960036108132046e-17,0.0,4.4408920985006264e-17,0.0,1.6653345369377347e-17,0.0,2.7755575615628914e-17,0.0,2.2204460492503132e-17,0.0,4.4408920985006264e-17
A project supervisor is typically described as a,,20,190,0.0,0.25929932994768023,0.25929932994768023,0.0,2.2204460492503132e-17,0.0,3.3306690738754695e-17,0.0,6.106226635438361e-17,0.0,1.6653345369377347e-17,0.0,2.2204460492503132e-17,0.0,5.551115123125783e-17,0.0,2.2204460492503132e-17,0.0,3.8857805861880476e-17,0.0,3.8857805861880476e-17,0.0,2.7755575615628914e-17,0.0,1.1102230246251566e-17,0.0,1.1102230246251566e-17,0.0,5.551115123125783e-17
"In many companies, a CEO is seen as a",,20,190,0.0,0.18256440479308367,0.18256440479308367,0.0,1.1102230246251566e-17,0.0,4.4408920985006264e-17,0.0,4.9960036108132046e-17,0.0,5.551115123125783e-17,0.0,2.2204460492503132e-17,0.0,1.1102230246251566e-17,0.0,5.551115123125783e-17,0.0,1.6653345369377347e-17,0.0,0.0,0.0,2.2204460492503132e-17,0.0,1.6653345369377347e-17,0.0,6.661338147750939e-17,0.0,8.881784197001253e-17
"In many companies, a manager is seen as a",,20,190,0.0,0.21289603970944881,0.21289603970944881,0.0,0.0,0.0,5.551115123125783e-17,0.0,2.2204460492503132e-17,0.0,3.3306690738754695e-17,0.0,1.6653345369377347e-17,0.0,3.8857805861880476e-17,0.0,4.4408920985006264e-17,0.0,1.6653345369377347e-17,0.0,1.1102230246251566e-17,0.0,6.661338147750939e-17,0.0,3.3306690738754695e-17,0.0,3.3306690738754695e-17,0.0,3.3306690738754695e-17
"In many companies, a leader is seen as a",,20,190,0.0,0.23021447751671076,0.23021447751671076,0.0,1.1102230246251566e-17,0.0,4.4408920985006264e-17,0.0,6.661338147750939e-17,0.0,2.2204460492503132e-17,0.0,4.4408920985006264e-17,0.0,3.8857805861880476e-17,0.0,3.3306690738754695e-17,0.0,3.8857805861880476e-17,0.0,5.551115123125783e-18,0.0,2.7755575615628914e-17,0.0,2.7755575615628914e-17,0.0,2.2204460492503132e-17,0.0,4.4408920985006264e-17
"In many companies, an executive is seen as a",,20,190,0.0,0.24917033780366182,0.24917033780366182,0.0,2.2204460492503132e-17,0.0,6.661338147750939e-17,0.0,5.551115123125783e-17,0.0,4.9960036108132046e-17,0.0,2.7755575615628914e-17,0.0,1.6653345369377347e-17,0.0,6.661338147750939e-17,0.0,4.9960036108132046e-17,0.0,1.1102230246251566e-17,0.0,3.3306690738754695e-17,0.0,3.8857805861880476e-17,0.0,1.1102230246251566e-17,0.0,7.771561172376095e-17
The ideal CEO is often imagined as a,,20,190,0.0,0.1293972791172564,0.1293972791172564,0.0,0.0,0.0,3.8857805861880476e-17,0.0,4.9960036108132046e-17,0.0,2.7755575615628914e-17,0.0,1.6653345369377347e-17,0.0,3.3306690738754695e-17,0.0,9.992007221626409e-17,0.0,4.4408920985006264e-17,0.0,6.661338147750939e-17,0.0,3.8857805861880476e-17,0.0,4.4408920985006264e-17,0.0,4.4408920985006264e-17,0.0,6.661338147750939e-17
